Author,Comment,LikeCount,PublishedAt
@erdemdeligoz1319,Hocam videolarınızı o kadar çok izlemişim ki tüm kitabı sizin sesinizle ve tonunuzla okudum.,0,2024-11-08T14:44:37Z
@kadircan7923,Behçet hocam ❤,0,2024-11-08T09:36:28Z
@Haluktataramaz,"Vay be, bu kültür şeysini hiç bu açıdan düşünmemiştim... 🤔",0,2024-11-07T21:56:35Z
@oguzsakar3803,Arkada süslü kütüphane rafları ve kitaplar yerine hardal sarısı çorapların olması daha samini ve inandırıcı geldi.<br>Çorap linki gelir mi?,1,2024-11-07T18:34:08Z
@x7585-x6k,"Ya Karl Marx gibi; &quot;Varsın hakim sınıflar bir komünist devrim korkusuyla titresin. Proleterlerin zincirlerinden başka kaybedecekleri bir şey yoktur. Kazanacakları bir dünya vardır.&quot; diyerek Fransız Devrimi veya Bolşevik Devrimi gibi devrim yapacağız. Ya da Albert Camus&#39;ün Absürt tanımı gibi madem bir şey değişmeyecek bu saçmalığa niye katlanıyoruz diye intihar edeceğiz...<br>Ancak biz ilhamımızı Mustafa Kemal&#39;den alıyoruz, &quot;Umutsuz durumlar yoktur, umutsuz insanlar vardır&quot; demiş. Büyük Nutuk&#39;unda 19 Mayıs 1919 Samsuna çıktım. Memleketin durumu diye anlattığı karanlıktan ülkeyi çekip çıkartacağına en yakınındakiler dahi inanmıyorlardı. Bu yüzden hepsi manda talep ediyorlar sadece ABD mandası mı İngiliz mandası mı daha iyi olur ona karar veremiyorlardı...<br>Ancak istiklal harbi bir mucize değildir, bir dehanın, adanmışlığın, kararlılığın, idealizmin ürünüdür, en olumsuz durumda bile gerçekten istenirse neler başarılabilir tüm dünya teorik olarak değil bizzat pratikte, uygulamalı olarak görmüştür...",1,2024-11-07T12:55:22Z
@beStoic1,"Biraz umutsuzluk katkısı da benden, <br>0 network etkisi ile 3 ödül aldım ama gerçek bir iş elde edemedim. Potansiyelimin yok olmasını izlerken üniversite mezuniyet koleksiyonu toplama hobisi edinmeye başladım.",0,2024-11-07T12:28:17Z
@x7585-x6k,Ne kasıyorsunuz ya; gidin Çorlu&#39;dan bir arsa alın 20 sene sonra zenginsiniz....,0,2024-11-07T11:58:04Z
@x7585-x6k,"<a href=""https://www.youtube.com/watch?v=C7NWXPxCQPI&amp;t=776"">12:56</a> Hocam sende Celal Şengör kadar para olsaydı yan gelir yatar, çatır çatır para yerdin, okula bile gitmezdin ki, bir çoğu da aynısını yapar kimin umurunda bilim :))))",0,2024-11-07T11:47:46Z
@x7585-x6k,"Zamanında bir düşünür söylemişti zaten; &quot; Fakir, çalmasını beceremediği için fakirdir&quot; o kadar uzun konuşmaya gerek yok, gayet güzel ve net ifade etmiş kendileri :))",1,2024-11-07T11:42:49Z
@x7585-x6k,"<a href=""https://www.youtube.com/watch?v=C7NWXPxCQPI&amp;t=559"">9:19</a> Başarı nedir? Benim için başarı öncelikle kendi ayaklarım üzerinde durabilmek, sağlıklı ve huzurlu bir yaşam sürebilmek, dünyadan çok büyük beklentilerim yok, aptalca fantaziler yapıp çok savrulmadığın sürece ortalama bir hayat yaşarsın zaten, her şeyin başı sağlık...",1,2024-11-07T11:41:20Z
@x7585-x6k,"<a href=""https://www.youtube.com/watch?v=C7NWXPxCQPI&amp;t=406"">6:46</a> Şans faktörünü anlatsalar ne olacak ki? Şans dediğimiz şey anlatılınca kazanılan bir şey mi? O zaman kimse ders çalışmasın, okumasın, her şeye rağmen çaba göstermesin gitsin totem yapıp sayısal loto, at yarışı, bahis oynasın (gerçi şimdi bunlarda hep organizeyle oluyor ama neyse)",0,2024-11-07T11:26:16Z
@x7585-x6k,"<a href=""https://www.youtube.com/watch?v=C7NWXPxCQPI&amp;t=365"">6:05</a> Bahtsız bedevi Behçet Hoca :)))",0,2024-11-07T11:22:00Z
@gunseliediz2021,"Yaa bir vakıf kuracaksınız anlaşılan, bu fikriniz 🙌  umarım çok satar, destek için ve de okumak için sipariş etmeliyiz 🙏",0,2024-11-07T10:15:23Z
@aDNAn_aydin,Tuvaletin ışığı açık kalmayaydı iyiydi. İsraf. Biz böyle büyüdük,1,2024-11-07T10:02:47Z
@AdilOlmayanYıldırım,Networkün ne kadar önemli olduğunu en basitinden linkedin de anlamıştım. Bütün lise arkadaşlarımın gruplarda görünce tek olduğumu bir kişi bile olmadığını görünce bir daha o siteye girmedim 😅,0,2024-11-07T07:47:21Z
@Animachine,saygıyla eğiliyorum... animasyon desteği sağlayabilirim...,0,2024-11-07T00:35:51Z
@mertmert8146,Hocam kyk yatmış sipariş verdim kitabı😍,0,2024-11-06T21:32:06Z
@verbaluce,Harika bir video olmuş. Teşekkürler ❤,1,2024-11-06T20:55:37Z
@isausa19,Ikıde bir mal gibi gülmeseniz çok güzel bir konu anlatmış olacaktınız.,0,2024-11-06T20:48:37Z
@EvrenDevang,Bu video da ürün yerleştirme bulunmaktadır,0,2024-11-06T20:05:45Z
@vigilante8298,"<a href=""https://www.youtube.com/watch?v=C7NWXPxCQPI&amp;t=358"">5:58</a> tiktoka çevirmeyin demek ne geri kafalı bi söylem. Uygulamanın kendisinin getirdiği bir özelliği yüceltmenizi ölümcül bi yanlışmış gibi kötülemesi ve daha kötüsü YouTube yetklilerinin ona katılması ne vahim...",1,2024-11-06T16:32:17Z
@canonest,"hocam boşver ya, oturup elysium&#39;u izlesinler yeter yarısına kadar. mutlu sonlar sadece filmlerde olur.",0,2024-11-06T15:47:02Z
@atacanaloglu2699,Hocam mağazalara dağıtım tam olmamış hala. Bi adam mı soksanız araya? Hemen dağıtılsın. D&amp;R&#39;a gittim elim boş döndüm.,0,2024-11-06T15:06:49Z
@radyoaktifyazar,Arka plan mükemmel olmuş,0,2024-11-06T15:06:42Z
@mustafacakr7504,Hocam montmu giyseniz dışarda 😅,0,2024-11-06T11:51:50Z
@misu7248,storytele sesli kitap olarak gelir mi kitap okumaya zamanım yok,1,2024-11-06T11:05:12Z
@albayresatbirecik5545,Hocam ben saldım. Kader diyip geçiyorum artık.,0,2024-11-06T10:49:28Z
@mahigayretli3718,Hocam kurmak istediğiniz yaz okulu aslında benim de en büyük ve en çok gerçekleştirmek istediğim hayalimdi hâlâ da hayalim aslında ama şuan çok uzak bana. 20 yaşındayım ve bu genç yaşıma rağmen bunun farkına varmak zorunda kaldım. Sizin adınıza ve ülkemiz adına çok mutlu oldum. İnşallah çok başarılı olursunuz.❤,0,2024-11-06T09:59:01Z
@EvaMiaTV,"Çok sıkıldım , çok ...",0,2024-11-06T09:28:09Z
@InoFootBallK,Dekor efsane,0,2024-11-06T09:24:31Z
@seydaguvenc,Ah hocam o kadar haklısınız ki . 2023 yılında üniversiteden mezun oldum. Gerçek hayatla yüzleştim ve depresyondayım…,0,2024-11-06T08:32:17Z
@sabrikaraagac4265,Sans diye birşey yoktur talih vardır ve insan talihini kendisi yaratır okuduğum bir kitaptan alinti 🙏,0,2024-11-06T08:07:19Z
@sinankutuk6958,Tebrikler hocam 🙏🏽👏🏻 İlk fırsatta pdf ini indirip okuyacağım.. Şaka şaka 😊 emeğinize sağlık. Doktora yapan birisi olarak uzun zamandır sizi takip ediyorum. Bizleri acı ama gerçeklerle karşılaştırdığınız için teşekkürler..,0,2024-11-06T07:51:34Z
@gamzeyagc6184,"Şimdiye kadar yaptıklarınız ve yapmayı planladıklarınız için ( kitap kanal gelirleriyle öğrenci yetiştirmek, bu arada bu benim de haylim ) tebrik ediyorum hocam. İyi ki varsınız. 👏👏👏👏",0,2024-11-06T06:37:07Z
@ozankuran4315,hocam eski filozoflar bile aristokrat çocuklarıydı. hangi köle ağacın altında oturacak zamanı bulacak da başına elma düşecek :D marx bile fabrikatör çocuğu ahaha,0,2024-11-06T06:15:32Z
@leventuslu664,İyi ki varsın hafız :),0,2024-11-05T21:43:49Z
@user-oe2jx3bd5f,çoban odtu ya girebiliyor haberlerde de gözümüze yıllarca soktular işin gerçeğini anlatmıyorlardı gerçek hoca efendi hazretleri uçan kaçan adam evliya kutlu doğum haftası zamanın sahibi yüce şahsiyet soruları çalıp çoban görünümlü abd ajanlarına veriyordu,0,2024-11-05T21:35:59Z
@CyborgDeniz,Arka planda&#39;ki görüntüde biz fakirlere hitaben hazırlanmış,0,2024-11-05T21:06:40Z
@propaganda1945,"Hocam kitabı bitirdim çok beğendim de keşke imza içeriği biraz daha özel olsaydı. Ankara&#39;da imza günü olursa diye sizden süslü bir imza sözü istesem verir misiniz? Seviliyorsunuz, fakirler olarak her zaman arkandayız &lt;3.",0,2024-11-05T20:29:57Z
@ramazansen,Fakir adam telefonunu kılıfsız kullanmaz!,0,2024-11-05T20:25:28Z
@venesvenessa9668,Yazdığım tezin bir türlü beğenilmemesinden sıkıldım.,0,2024-11-05T20:13:42Z
@elalemneder1901,"Ağa iğrenç bir gülmen var, bir şey anlatıyorsun, gülme efekti gibi gülüyorsun durmadan, bir türlü  konsantrasyon olamadım. Youtube   direktör karşısında böyle isen sunumda, başarız olman gayet normal",0,2024-11-05T19:02:13Z
@muniseerdol3517,.,0,2024-11-05T16:30:04Z
@kralfutbl9997,Bu videoyu salonun ortasındaki çamaşırlığın yanındaki koltukta oturarak seyretmemde iyi bir tesadüf oldu..,0,2024-11-05T15:54:06Z
@grmistake,Fakirlere yalan dünyasından oluşan bir matrix&#39;in içine hapsetmişler zavallılar orada yalanlar ve masallarla mutlular. Olan da uyananlara oluyor mağlesef yetersiz sayımız.,0,2024-11-05T15:40:56Z
@sinanzorca,Hocam bir şey soracaktım hep unutuyorum. Siz Star Wars hayranı mısınız? Padawan saçı bırakmışsınız. :),0,2024-11-05T15:09:46Z
@ileridogru4667,Bahsettiğiniz proje harika. 🎉,1,2024-11-05T15:07:42Z
@emreyilmaz17,Mutsuz okumalar dilerim yazmışsınız o kadarmı üzücü :(,0,2024-11-05T14:48:09Z
@nuriabatay,Aldığım en iyi zurna dürüm.,0,2024-11-05T14:39:59Z
@commoduspasa410,Osman hocam sizce zengin olmak aylık kaç tl kazanmaktan başlar?,1,2024-11-05T14:09:52Z
@rexuscrxgoxel,"Dizleri Kırmadan Eğilmeyen Basamak Atlayamıyor 😔<br><br>&quot;Gücü gördüğünüzde <br>aldığınız pozisyon<br>,Haysiyetinizi belirler.&quot;<br>- Shemuel Bensusan -",7,2024-11-05T13:54:04Z
@ahcvea,Diger youtuberlarin kütüphane arka fonundan bikmistik.,4,2024-11-05T12:19:03Z
@uzeyira.2982,Türkiye&#39;yi hırsızlık ülkesi yapan adilere selam olsun...,0,2024-11-05T11:56:56Z
@busrakrbdk1627,Elinize emeğinize sağlık hocam çok merak ediyorum kitabınızı,1,2024-11-05T11:31:52Z
@mustafaates388,Ülkede doğru söylüyorsun başına gelmeyen kalmıyor.,2,2024-11-05T11:27:00Z
@muhammet.c,Okuldan mezun olunca kendi işimi yaparım diye düşünüyordum bu arada bilgisayar programcılığı okudum kendi işimi yapabileceğime o kadar inanıyordum ki hayal kırıklığına acı bir şekilde de olsa uğradım şu an satış danışmanıyım köleliğe devam,0,2024-11-05T11:15:47Z
@wesleysneider9112,Çarkına çomak soktuğumun dünyası huahhhah hı hı huahhhahha hıı hıı,0,2024-11-05T10:44:56Z
@wesleysneider9112,Helal olsun size,0,2024-11-05T10:37:01Z
@esckeo-,Kitabınızı hemen alıyorum.... Hem de birkaç tane 😂😂,0,2024-11-05T10:17:56Z
@timucinsahin5823,Yapilan yardımları vergiden düşürmeyi unutma hocam 😁,0,2024-11-05T10:17:38Z
@Sehirdenkoye148,Devamkeee dayıı,0,2024-11-05T09:40:41Z
@safaksimsek9626,Hocam az önce reklamında kitabını yazdınız tebrik ederim.,0,2024-11-05T09:04:30Z
@ahmetalp4228,"Hocam &quot;bir şey&quot; anlatmaya çalışıyorsunuz tebrik ederim. (İnşallah okursunuz bunları ya...) Fakat biraz ciddiyet istiyor ve arıyorum. Arkada tuhaf sesler tuhaf oluyor ve inandırıcılık da sıkıntı oluyor diye düşünüyorum. Ciddiyet yoksa inandırıcılık ta yok, kısmet tabi.<br>2. Yapacak bir şey yok, sabahları Tv kanallarını da izlemeyi bırakıyorum, kuş sesleri ile kahvaltı yapmak daha iyi aslında. Aynı muhabbetler her kahvehane de de var, &quot;değişik ne söylersiniz&quot; diye bakıyorum yok. Cancazım artık yeni şeyler söylemek lazım yada yapmak lazım, doymadık mı anlatılanlara. <br>3. Youtube yönetimi de hızlı sarma sizi izliyor, daha değişik izlenir neler yaparsınız sunarsınız diye bekliyor.  tekrar düşmek en sıkıntılı olan. Bİlginize.",0,2024-11-05T08:45:15Z
@aybigetek,ÇOK İYİ BEA :) DEKOR BOMBASTIC :),0,2024-11-05T08:26:32Z
@hymerc2534,👍,0,2024-11-05T07:50:44Z
@wisecrow26,"Kitabı okudum. Gerçekten de hiçbir filtre olmadan ve de bilimsel verilerle desteklenerek özellikle gençlerin nasıl uyutulduğuna bir kez daha şahit oldum. Emeğiniz için teşekkürler. Benim dikkatimi çeken şu. Bence gerek gençler gerekse de yetişkinler bahsettiğiniz durumların farkındalar; torpil, liyakatsizlik vs. fakat bunların farkında olunmasına rağmen kimse bir şey yapmıyor ya da bu değişimleri yapabilecek güçleri yok. Güçleri olanlar da sistemden memnun ya da böyle geldi böyle gidiyor diyerek bir şey yapmaya niyetleri yok. O yüzden bir şekilde buraya odaklanmalıyız.",0,2024-11-05T07:21:27Z
@hakanyuval5532,Kaç senedir sizi takip eden biri olarak mantığınızı ve mentalitenizi çok iyi biliyorum. Kitabı alıp okuyacağım ve dağınık dağınık olan bakış açımı toplamaya çalışacağım. <br><br>Ama biraz da şu paraları yiyin hocam 😅,0,2024-11-05T06:52:31Z
@elif5601,“Sistem ancak büyük bir fakir sınıfa umut aşılayarak dönebilir” o kadar doğru ki 😢,1,2024-11-05T05:34:38Z
@oktay-m5n,Yks öğrencisiyim çok çalışkan bi öğrenci değildim malum imkanlar falan lgs&#39;ye hazırlanırken sadece eve gelip deneme çözüp tekrar ederdim neyse pek uzatmadan bağlayacağım konuyu lgs&#39;de pek iyi olmasa bile kötü olmayan bi dilime girmiştim ingilizceden sadece 1 soru yapmama rağmen okulda müdür yardımcısı şaşırmıştı çünkü okulun parali sınıfından değildim neyse şu an yks için mezunum insanlar evde tek başına oturup çalışmayı kolay sanıyor he birde ev ortamı diye bi faktör var tabi yine başaracağım şüphem yok ama dediğiniz gibi dershane beklentim zaten yok kendime her zaman güveniyorum ama birileri bunun kolay olduğunu sanıyor üç beş çoban arkadaş derece yapınca ilk 30binin hepsini aynı şartlarda hazırlanıyor saniyorlar herhalde burada tek sorun imkansızlık değil imkansızlığın getirdiği düşünceler de oluşuyor insanda yani kimse kimsenin halinden anlamaz,0,2024-11-05T05:27:48Z
@prirosa7169,Hoca palavrayı geç. Eleştirmek bedava. Bak bende seni eleştiriyorum. En kolayı yönetimi siyasileri iktidarı eleştirmek . Bunu herkes yapıyor istersen git kahvelere gir bak .<br>Ne yapmak lazım sen onu söyle. Sen para kazanmak için sende milletin bu eleştiri duygusunu sömürerek para kazanmak peşindesin.,1,2024-11-05T05:15:01Z
@MM-bo9jq,❤,0,2024-11-05T05:12:04Z
@cagdasyorulmaz,Eskişehir soğuktur şimdi :),0,2024-11-05T05:11:13Z
@myster54,"Hocam ciddi şekilde iyi gözükmek, kötüden bahsetmemeye dair bir kültür var. Ve gerçekçi olmak isteyenler o kadar baskılanıyor ki, ben acı gerçekleri yönetim ve yöneticiler üzerinden anlattığım bir kitap hazırlıyorum ama bitirsem bile kendi ismimle çıkartmaya cesaretim yok. Koca ülkede buna cesaret edebildiğine şahit olduğum ilk insan olduğunuz için kanalınıza abone olacağım.",1,2024-11-05T05:03:41Z
@myster54,"<a href=""https://www.youtube.com/watch?v=C7NWXPxCQPI&amp;t=420"">7:00</a> Videodan aldığım ders: İlker Canikligil in siyaset bilgisi kadar itibarı da işlevsizmiş.😂",0,2024-11-05T04:47:10Z
@Flesteroffcial,Siyaset okuyacak birisi olarak alanımda tanınırlık hakkında kaygı yaşayacağımı düşünmesemde bir gün öldürülme hissizliğim var. Korku falan değil direkt hissizlik.,0,2024-11-05T03:33:16Z
@solaris867,"Behçet bey videodaki histerik gülmeleriniz çok rahatsız edici olmuş, sanırım sizinde psikolojiniz bozuldu soruşturmalardan",0,2024-11-05T02:06:12Z
@SURREAL1221,Behçet hocam size güven duyuyorum.. bu dün beğendim ama izlemeye fırsatım olmadı dolayısıyla fiyatına şaşırdım... gerçi romanların fiyatlarını düşündüğümüzde bir roman aldığımız ücrete bu kitaptan ortalama 3 adet satın alabiliyorsunuz...veya saçma sapan kişisel gelişim dedikleri yazarın kendini pazarladığı...bu tip kitapları ben de zamanında aldım birkaç  kere ve günün sonuna baktığımda toplumun çok ufak bir azınlığında yaptıkları deneyleri ve ziyadesiyle de gittikleri seminerleri (aldıkları verdikleri) aslında kendilerinin de kandırıldıklarını söylemeyip orda  kaybettikleri ve zararları  telafi etmeye çalıştıklarını fark edince bıraktım...<br>bu kitabı bu gün alacam inşallah ve okuyacağım...<br>burda sizin bu videonuzu izleyen kardeşlerime abilerime ablalarıma ufak bir uyarı da bulunmak istiyorum sizin vesilenizle(müsadenizle):<br>- kişisel gelişim yalandır..<br>-her insanın hayatı aynı ölçüde değildir<br>-aynı sosyo ekonomik şartlarda değiliz<br>-aynı sosyo kültürel yapıda değiliz<br>-aynı değerlere sahip değiliz<br>-aynı bilnçli çevrede yaşamıyoruz<br>dolayısıyla herkes de aynı hayatı yaşamıyor arkadaşlar hayatınıza göre araştırın derim<br>saygılarımla,0,2024-11-04T23:35:14Z
@vanophibilsiron7781,Hocam bu muhabbeti Mandıra Filozofunda da çok güzel bir kısımda işliyorlar. Hepimiz yalıda yaşayamayacağız. Zaten hepimize yetecek kadar yalı da yok. O yüzden yalıda oturacaksınız şeklindeki hayal pazarlayanlara bir tık soru işareti ile yanaşmak daha doğru.,1,2024-11-04T22:49:32Z
@ilyasbarszengin4170,hocam alırım bir hayırlı olsununuzu perşembeye almanyadayım (turistik anlamda değil ),0,2024-11-04T22:45:22Z
@cnakka58,+,0,2024-11-04T21:32:07Z
@NoName-ke2ug,Hocam sizi cok seviyorum. Dualarim sizinle. İnsallah sorusturma bir an once olumlu olarak sonuclanir. Allah&#39;a emanetsiniz 😊,0,2024-11-04T21:23:58Z
@must4fajk,hocam çamaşırlık linki var mı çok iyimiş,0,2024-11-04T21:21:25Z
@hulyaunver7546,İYİ Kİ VARSINIZ HOCAM DOĞRU YOLUNUZ HEP AÇIK OLSUN EMEĞİNİZE YÜREĞİNİZE SAĞLIK<br>GÜZEL IŞIĞINIZ BOL POZİTİF ENERJİNİZ DAİM OLSUN🙏🌺,1,2024-11-04T21:20:14Z
@ahmetyılmaz-i8l,Kitabi siparis ettim prof adam lütfen pesimi birak 😂😂😂 (videolar pek sarmiyor ozur dilerim),0,2024-11-04T21:06:27Z
@yilmazerlergiller,Hocam videolar çok kısa <br>Ütü yaparken 3 gömlek birkaç havlu ütülemişim sadece,0,2024-11-04T20:34:08Z
@emirturk326,adamsınız hocam,0,2024-11-04T20:30:38Z
@ŞafakDerin,ustinsan olusturuyor abim yerli milli Nietzsche,1,2024-11-04T20:20:12Z
@canmamus,Hocam bize böyle şeylerle gelin,0,2024-11-04T19:38:26Z
@bilgekagankederoğlu,hocam bana fiyat pahalı geldi keşke ucuz gelseydi,0,2024-11-04T19:11:17Z
@Yalicafe123,Hocam doğru söylüyor Network adam batıyor 10 kere yine çıkıyor neden çevresi zengin la bu adamın yatırımcı bulmak iki dk sını almaz zaten işte bu yüzden rahat takılıyorlar hiçbir zaman onlar gibi olamayacağız bizim ikinci kez iflas etme hakkımız maalesef yok o yüzden yapacağımız işe sımsıkı sarılmalıyız ki olsun,0,2024-11-04T18:47:43Z
@OmerKarli-p2d,Fena sardı bu kanal,0,2024-11-04T18:28:37Z
@ravenloft1982,"Kötü bir huyum var, sadece çok beğendiğim ve sonrasında tekrar izlerim(veya dinlerim) dediğim videolar haricinde kolay kolay videolara beğeni vermiyorum ama bu durum sizin videolarınız için geçerli değil. Siz beğeniyi de, yorumu da sonuna kadar hak ediyorsunuz. Çok paralar kazanmanız ve bir sürü durumu olmayan parlak öğrencilere umut olmanız; yani ülkemiz için umut olmaya devam etmeniz dileğiyle...",0,2024-11-04T18:28:11Z
@tutkubakay8017,Köstek,0,2024-11-04T18:25:14Z
@tnyugur7199,.,0,2024-11-04T17:59:23Z
@gulsenuysal9189,"herkes zengin olmak zorunda değil. bana göre zenginlik yük. incilde en beğendiğim kısım oldu başka yerini hatırlamıyorum. hz isaya çok zengin bi genç geliyor çok mutsuzum diyor, hz isa bütün varlığını dağıt benimle gel diyor. yüksek öğrenim bizde çok iddialı batıda lüx gibi. ülkelere göre de eğitim kimi ülkelerde devlet karşılıyor. ingilterede çok pahalıymış mesela. ingiltere abd vs eğitimi sektrleştirmişler para kazanıyorlar. ülkemizde fakir de isterse çalışmayı seviyorsa bi çoban da üniversite okuyabilir. parasız imkanlar bulabilir. batının sınıfcı toplum yapımız yok bizim. ülkemize fazla da haksızlık yapmayalım. herkesin öğrenme kapasitesi üniversiteye uygun olmayabilir. gider sanayide başka hizmet sektöründe vs çalışır meslek öğrenir. bu şekilde iş kuranlar da var zengin olanlar da. mersedese biniyor adam. çırak girmiş öğrenmiş işadamı olmuş. bi tarafdan da her şey nasip galiba. herkes haram yoluyla zengin olacak diye de bişey yok. helal de çalışıp zengin olabilir. herkes üni. okursa evimiiz kim boyayacak ekmeğimiiz kim yapacak. evimiiz kim yapacak. toplumun her iş yaşantı katmanlarını sevmek saymak saygı duymamız gerekli. sosyal devlet anlayışıyla da denge sağlamak önemli aç açık bırakmamalı tc devleti sosyal devlet olma yolunda baya yol katetti.",0,2024-11-04T17:34:17Z
@emrecomez5974,hocam şu faullerini kes be,0,2024-11-04T16:46:03Z
